P00027739T0000|6 31|gamma glutamyltransferase
P10684111A1411|83 91|MAPK p44
P10684111A1411|83 87|MAPK
P10684111A1411|83 87|MAPK
P10684111A1411|96 104|MAPK p42
P10684111A1411|108 119|MAPK family
P10684111A1411|108 112|MAPK
P10684265T0000|44 59|protein IE2-p86
P10684265T0000|52 59|IE2-p86
P10684265T0000|107 116|ubiquitin
P10684265T0000|107 143|ubiquitin-homologous proteins SUMO-1
P10684265T0000|128 143|proteins SUMO-1
P10684265T0000|137 143|SUMO-1
P10684967A0000|26 29|NK2
P10684967A0000|26 84|NK2 family of homeodomain-containing transcription factors
P10687855T0000|6 47|growth hormone transcription factor Zn-16
P10687855T0000|21 47|transcription factor Zn-16
P10687855T0000|42 47|Zn-16
P10687855T0000|145 150|Zn-15
P10688646A0535|65 70|HS-40
P10688646A0535|95 137|human alpha-globin promoter-growth hormone
P10688646A0535|95 144|human alpha-globin promoter-growth hormone hybrid
P10688646A0535|95 149|human alpha-globin promoter-growth hormone hybrid gene
P10688646A0535|95 113|human alpha-globin
P10688646A0535|101 122|alpha-globin promoter
P10688646A0535|101 149|alpha-globin promoter-growth hormone hybrid gene
P10688646A0535|101 144|alpha-globin promoter-growth hormone hybrid
P10688646A0535|101 137|alpha-globin promoter-growth hormone
P10688646A0535|101 113|alpha-globin
P10688661A0237|29 38|REST/NRSF
P10690702A0065|9 31|Acetylcholine receptor
P10691972T0000|50 93|human multidrug resistance protein 2 (MRP2)
P10691972T0000|50 98|human multidrug resistance protein 2 (MRP2) gene
P10691972T0000|56 98|multidrug resistance protein 2 (MRP2) gene
P10691972T0000|56 93|multidrug resistance protein 2 (MRP2)
P10691972T0000|56 86|multidrug resistance protein 2
P10691972T0000|87 98|(MRP2) gene
P10691972T0000|140 182|multidrug resistance protein 3 (MRP3) gene
P10691972T0000|140 177|multidrug resistance protein 3 (MRP3)
P10691972T0000|171 182|(MRP3) gene
P10692374A1873|64 76|archaeal 20S
P10692374A1873|73 88|20S proteasomes
P10692374A1873|73 76|20S
P10692433A0000|4 28|transcription factor E2F
P10694511A0570|22 29|yam8(+)
P10694511A0570|22 26|yam8
P10694511A0570|42 46|mid1
P10698516T0000|7 17|Ste20-like
P10698516T0000|7 12|Ste20
P10698516T0000|81 89|SAPK/JNK
P10698974A0951|19 30|human STAG3
P10698974A0951|25 35|STAG3 gene
P10698974A0951|25 30|STAG3
P10698974A0951|76 95|human STAG3-related
P10698974A0951|82 95|STAG3-related
P10698974A0951|82 87|STAG3
P10698974A0951|82 101|STAG3-related genes
P10698974A0951|292 306|(WBS) deletion
P10702241A0357|13 15|a1
P10702253A0357|77 93|human HIF-1alpha
P10702253A0357|83 93|HIF-1alpha
P10702253A0357|83 101|HIF-1alpha subunit
P10702253A0357|83 93|HIF-1alpha
P10702285A0855|35 45|G(q)/G(11)
P10702285A0855|150 153|p85
P10702285A0855|265 275|GLUT4-EGFP
P10702389A1148|19 27|RB2/p130
P10702389A1148|19 32|RB2/p130 gene
P10702389A1148|23 32|p130 gene
P10702926T0089|64 80|T cell receptors
P10704283A0649a|172 182|human IL-4
P10704283A0649a|172 196|human IL-4 cytokine gene
P10704283A0649a|172 191|human IL-4 cytokine
P10704283A0649a|178 204|IL-4 cytokine gene cluster
P10704283A0649a|178 182|IL-4
P10704283A0649a|178 196|IL-4 cytokine gene
P10704283A0649a|178 191|IL-4 cytokine
P10704285A0536|6 13|AP-2rep
P10704285A0536|80 89|AP-2alpha
P10704285A0536|80 89|AP-2alpha
P10704285A0536|80 89|AP-2alpha
P10704338A0354|82 97|p24(CA) protein
P10704338A0354|82 89|p24(CA)
P10704410T0000|0 9|Clb/Cdc28
P10704410T0000|0 17|Clb/Cdc28 kinases
P10704410T0000|4 17|Cdc28 kinases
P10704410T0000|70 85|proteins Mcm2-7
P10704410T0000|79 85|Mcm2-7
P10704499A0682|105 119|(FGF) receptor
P10704499A0682|139 175|nonreceptor tyrosine kinase p59(fyn)
P10704499A0682|139 170|nonreceptor tyrosine kinase p59
P10704499A0682|167 175|p59(fyn)
P10704853T0000|21 35|Bozozok/Dharma
P10704853T0000|40 53|Nodal-related
P10704853T0000|40 45|Nodal
P10706688A0376|80 84|fasl
P10706736A1091|60 65|gp100
P10706736A1091|95 98|CD8
P10706736A1091|153 175|gp100-derived epitopes
P10706887A1457|62 70|ATIC-ALK
P10708769A0433|4 8|Mif1
P10710742T0000|0 12|Serum leptin
P10712599A0349|45 65|ubiquitin-proteasome
P10712618A0181|64 73|aspartase
P10712618A0181|64 73|aspartase
P10712618A0181|185 195|aspartases
P10713161A0985|45 49|ulp1
P10713161A0985|107 111|Smt3
P10713175A1399|132 140|ARF-Mdm2
P10713175A1399|132 148|ARF-Mdm2 complex
P10713176A0422|181 198|phosphorylated Rb
P10713176A0422|226 234|E2F-p107
P10713176A0422|226 244|E2F-p107 complexes
P10713176A0885|0 12|D-cyclin-cdk
P10713176A0885|117 161|cdk4- and cdk6-specific inhibitor p16(INK4A)
P10713176A0885|117 154|cdk4- and cdk6-specific inhibitor p16
P10713176A0885|127 161|cdk6-specific inhibitor p16(INK4A)
P10713176A0885|127 154|cdk6-specific inhibitor p16
P10713176A0885|151 161|p16(INK4A)
P10713453A0172|47 59|antibody Q18
P10713453A0172|56 59|Q18
P10714985A1057|117 125|TRAP-trp
P10714985A1057|117 136|TRAP-trp leader RNA
P10714985A1057|117 132|TRAP-trp leader
P10714985A1057|122 132|trp leader
P10714985A1057|122 136|trp leader RNA
P10715325A0834|4 9|AtERF
P10715325A0834|147 175|ETHYLENE-INSENSITIVE2 (EIN2)
P10717612A0000|110 167|granulocyte-macrophage-colony stimulating factor (GM-CSF)
P10717612A0000|188 208|interleukin-2 (IL-2)
P10720434A0291|102 111|cyclin B1
P10721704A1155|96 100|Elav
P10721704X0000|30 49|mouse Elavl1 (mHuA)
P10721704X0000|30 54|mouse Elavl1 (mHuA) gene
P10721704X0000|36 42|Elavl1
P10721704X0000|36 49|Elavl1 (mHuA)
P10721704X0000|36 54|Elavl1 (mHuA) gene
P10721704X0000|43 54|(mHuA) gene
P10721704X0000|149 162|mHuA (Elavl1)
P10721704X0000|155 161|Elavl1
P10721714A1087|52 55|Sp1
P10721714A1087|52 55|Sp1
P10721726T0000|27 49|thioredoxin reductases
P10722661A0146|82 87|PREG1
P10722661A0146|110 122|PHO80 cyclin
P10722661A0406|16 20|CYC2
P10722661A0406|70 109|trypanosome cdc2-related kinases (CRKs)
P10722661A0406|82 102|cdc2-related kinases
P10722661A0406|82 109|cdc2-related kinases (CRKs)
P10722661A0406|115 119|CYC2
P10722661A0406|142 144|TY
P10722737A1726|96 108|Kruppel-like
P10722737A1726|96 103|Kruppel
P10722737A1726|177 184|LTC(4)S
P10724483A0540|61 66|HEM13
P10725382A0398|21 25|sos2
P10725382A0398|21 32|sos2 mutant
P10725433A0543|64 66|Wp
P10725433A0543|173 177|CREB
P10727247A0461|111 116|TEF-1
P10727413A1244|71 85|hamster CYP7A1
P10727413A1244|79 85|CYP7A1
P10727413A1244|79 103|CYP7A1 proximal promoter
P10727428A0000|13 48|(mitogen-activated protein) kinases
P10727433A0560|122 159|Ets/AP1 (activator protein 1) element
P10727433A0560|122 151|Ets/AP1 (activator protein 1)
P10727433A0560|122 129|Ets/AP1
P10727433A0560|126 151|AP1 (activator protein 1)
P10727433A0560|126 159|AP1 (activator protein 1) element
P10727433A0560|167 170|uPA
P10727433A0560|239 242|ras
P10727433A0560|247 263|protein kinase C
P10727433T0000|14 45|urokinase plasminogen activator
P10727433T0000|110 154|macrophage colony-stimulating factor (CSF-1)
P10729220A0000|19 61|IGF2 (human insulin-like growth factor II)
P10729220A0000|66 69|H19
P10729221A0798|55 58|Kv4
P10729221A0798|55 65|Kv4 family
P10731411A0958|120 133|RNA helicases
P10732669A0510|213 233|HD-Zip binding sites
P10732669A1336|97 103|HD-Zip
P10732669A1336|97 103|HD-Zip
P10733569A0364|16 20|HSFs
P10733591A0146|98 105|p70(S6)
P10733591A0146|98 112|p70(S6) kinase
P10733591A0146|117 146|c-jun N-terminal kinase (JNK)
P10734312A0503|22 25|Shc
P10734312A0503|22 25|Shc
P10734312A0503|22 25|Shc
P10734312A0503|141 144|Ras
P10735848A1440|49 57|tol-oprL
P10736161T0000|0 67|Enzyme I of the phosphoenolpyruvate:sugar phosphotransferase system
P10736161T0000|0 60|Enzyme I of the phosphoenolpyruvate:sugar phosphotransferase
P10736223A1227|82 84|Qa
P10739671A0136|106 146|human c-myb intron 1 transcription pause
P10739671A0136|106 117|human c-myb
P10739671A0136|106 126|human c-myb intron 1
P10739671A0136|112 117|c-myb
P10739671A0136|112 146|c-myb intron 1 transcription pause
P10739671A0136|112 153|c-myb intron 1 transcription pause region
P10739671A0136|336 389|interferon regulatory factors (IRFs) nuclear proteins
P10739671A0136|336 372|interferon regulatory factors (IRFs)
P10739671A0136|366 389|(IRFs) nuclear proteins
P10741850A0452|94 106|GCSl subunit
P10741850A0452|94 98|GCSl
P10742114A0486|37 60|mouse mutant pudgy (pu)
P10742114A0486|43 55|mutant pudgy
P10742114A0486|43 60|mutant pudgy (pu)
P10742114A0486|50 55|pudgy
P10742114A0486|50 60|pudgy (pu)
P10744749A0315|144 148|MyoD
P10744749T0000|4 55|human T cell leukemia/lymphotropic virus type 1 Tax
P10744749T0000|52 55|Tax
P10744749T0000|52 63|Tax protein
P10744749T0000|137 140|KIX
P10744974T0000|58 64|Cdc15p
P10744974T0000|58 98|Cdc15p mitotic regulatory protein kinase
P10747053A1102|53 66|taf17(slm7-1)
P10747099A0507|0 36|Extracellular-regulated kinase (ERK)
P10747099A0507|95 130|p130 Crk-associated substrate (CAS)
P10747099A0507|135 148|c-CrkII (Crk)
P10747782A0390|24 40|Swi4 DNA-protein
P10747782A0390|24 28|Swi4
P10747879A0607|21 25|CCR5
P10748113A0187|25 28|RIM
P10748125A0000|0 17|Inhibitor-1 (I-1)
P10748125A0000|22 39|inhibitor-2 (I-2)
P10748125A0000|60 110|type 1 protein serine/threonine phosphatases (PP1)
P10748194T0000|47 61|protein PSD-95
P10748194T0000|55 61|PSD-95
P10749145T0000|29 33|PCPH
P10749145T0000|140 182|extracellular signal-regulated kinase ERK1
P10749849A0000|142 190|cyclin-dependent kinase inhibitor p21(WAF1/Cip1)
P10749849A0000|142 195|cyclin-dependent kinase inhibitor p21(WAF1/Cip1) gene
P10749849A0000|176 190|p21(WAF1/Cip1)
P10749849A0000|176 195|p21(WAF1/Cip1) gene
P10749849A0000|179 195|(WAF1/Cip1) gene
P10749849A0000|180 189|WAF1/Cip1
P10750020A0843|68 74|ER/Sp1
P10751398A1135|34 40|c-IAP2
P10751398A1135|108 133|latent membrane protein 1
P10752475A1376|157 166|anti-CD20
P10752475A1376|244 259|anti-(mouse Ig)
P10756007A0575|20 23|RBE
P10756007A1512|39 42|Rep
P10756007A1512|39 46|Rep-DNA
P10756032A0599|45 53|cyclin E
P10756225A1464|158 162|IL-5
P10757983A0733|117 120|Adx
P10757983A0733|153 165|Kruppel-like
P10757983A0733|153 160|Kruppel
P10757983A0733|189 201|mouse ZBP-89
P10757983A0733|195 201|ZBP-89
P10757983A0733|195 211|ZBP-89 homologue
P10758489A0206|104 107|CDK
P10760109A1050|183 188|IGF-1
P10760109A1050|224 234|hemoglobin
P10760132A1169|81 84|Ypt
P10760169A1142|30 34|CreA
P10762254A0954|18 40|TMA methyltransferases
P10762254A0954|77 98|MMA methyltransferase
P10762254A0954|136 158|TMA methyltransferases
P10762348A0269|23 27|STAT
P10763827A1158|75 78|ras
P10764729A1846|36 50|betaV spectrin
P10764802A1258|47 56|p57(Kip2)
P10764802A1258|84 91|Cip/Kip
P10764802A1258|84 100|Cip/Kip proteins
P10764802A1258|247 271|p57(Kip2) family members
P10764802A1258|247 263|p57(Kip2) family
P10764802A1258|247 256|p57(Kip2)
P10767553A0100|61 82|forkhead/winged helix
P10767553A0100|61 103|forkhead/winged helix transcription factor
P10767553A0100|70 103|winged helix transcription factor
P10767553A0100|105 147|Hepatocyte Nuclear Factor 3beta (HNF3beta)
P10767560A0105|90 99|mouse Pkr
P10767560A0105|96 104|Pkr gene
P10767560A0105|96 99|Pkr
P10767560A0105|149 167|mouse Pkr promoter
P10767560A0105|149 158|mouse Pkr
P10767560A0105|155 158|Pkr
P10767560A0105|155 174|Pkr promoter region
P10767560A0105|155 167|Pkr promoter
P10771709A0291|157 160|IgG
P10772977A0222|31 37|PVX CP
P10772977A0222|35 44|CP mutant
P10772977A0222|35 37|CP
P10773351A0672|113 151|GAS (gamma-interferon activation site)
P10773351A0672|113 160|GAS (gamma-interferon activation site) elements
P10773351A0672|117 160|(gamma-interferon activation site) elements
P10773455A1268|28 34|GATA-1
P10773455A1268|123 134|mouse ALAS2
P10773455A1268|129 134|ALAS2
P10773455A1268|129 143|ALAS2 promoter
P10773455A1268|129 134|ALAS2
P10773667A0351|4 7|HMG
P10773667A0351|23 28|HMG20
P10773667A0351|71 76|NHP6A
P10773951A0000|8 29|IgG anti A and anti B
P10773951A0000|8 38|IgG anti A and anti B antibody
P10775038A0142|28 32|Wee1
P10775585A0754|26 32|P70/S2
P10775585A0754|159 211|Ras-dependent mitogen-activated protein (MAP) kinase
P10775623A0120|61 64|env
P10777217A0536|4 23|p53-homolog p73beta
P10777217A0536|4 7|p53
P10777217A0536|16 23|p73beta
P10777217A0536|43 47|PIG3
P10777217A0536|109 116|p73beta
P10777217A0536|165 169|PIG3
P10777669A0582|4 10|ZNF274
P10778740A1493|15 19|Cdk2
P10778740A1493|118 123|pho85
P10778740A1493|118 123|pho85
P10778740A1493|174 178|HIS3
P10778757A0000|108 124|Miniature1 (Mn1)
P10778757A0000|108 135|Miniature1 (Mn1) seed locus
P10778757A0000|119 135|(Mn1) seed locus
P10778757A0000|165 184|cell wall invertase
P10778757A0000|175 184|invertase
P10779313A1842|121 125|GIRK
P10779352T0000|26 30|E2F3
P10779352T0000|105 107|Rb
P10779508A0452|89 124|glutathione S-transferase-ERRalpha1
P10779508A0452|89 131|glutathione S-transferase-ERRalpha1 fusion
P10779508T0000|137 154|human lactoferrin
P10779508T0000|143 154|lactoferrin
P10779508T0000|143 159|lactoferrin gene
P10780883T0000|28 74|herpesvirus viral interferon regulatory factor
P10780883T0000|46 74|interferon regulatory factor
P10781423A0993|86 149|homeodomain transcription factor thyroid transcription factor-1
P10781423A0993|86 157|homeodomain transcription factor thyroid transcription factor-1 (TTF-1)
P10781423A0993|119 157|thyroid transcription factor-1 (TTF-1)
P10781604A0827|107 114|Rsp5 WW
P10781604A0827|107 111|Rsp5
P10781604A0827|107 132|Rsp5 WW domain (Rsp5 WW2)
P10781604A0827|107 111|Rsp5
P10786671A0182|129 175|human telomerase reverse transcriptase (hTERT)
P10786671A0182|129 180|human telomerase reverse transcriptase (hTERT) gene
P10786671A0182|135 175|telomerase reverse transcriptase (hTERT)
P10786671A0182|135 180|telomerase reverse transcriptase (hTERT) gene
P10786671A0182|168 180|(hTERT) gene
P10788320A1034|183 202|U5 and U4/U6 snRNPs
P10788320A1034|183 195|U5 and U4/U6
P10788320A1034|190 202|U4/U6 snRNPs
P10788320A1034|190 195|U4/U6
P10788476A0891|154 163|G protein
P10790390X0000|77 86|mod(mdg4)
P10790390X0000|90 111|Drosophila. mod(mdg4)
P10790390X0000|90 105|Drosophila. mod
P10790390X0000|102 111|mod(mdg4)
P10790390X0000|255 270|gypsy insulator
P10790390X0000|255 260|gypsy
P10791901A0609|62 72|viral MRP1
P10791901A0609|68 72|MRP1
P10792583A0000|86 130|pituitary adrenocorticotropic hormone (ACTH)
P10792583A0000|96 130|adrenocorticotropic hormone (ACTH)
P10792718T0000|21 42|AfsA homologue (BarX)
P10792718T0000|21 25|AfsA
P10793143A1533|68 77|Abf1 ARS1
P10794405A0000|78 80|H1
P10799590A0431|0 6|Jkappa
P10799590A0431|70 84|mutant EBNA-3C
P10799590A0431|77 92|EBNA-3C protein
P10799590A0431|77 84|EBNA-3C
P10799590A0431|108 114|Jkappa
P10799590A0431|167 174|EBNA-3C
P10799590A0431|167 174|EBNA-3C
P10799590A0431|270 276|Jkappa
P10799595A1454|87 95|HPV-6 E1
P10799595A1454|93 104|E1 promoter
P10799595A1454|93 95|E1
P10799863T0000|83 92|HIV-1 ENV
P10799863T0000|89 92|ENV
P10799863T0000|89 100|ENV epitope
P10799863T0000|116 127|MHC class I
P10799879T0000|38 41|Lnk
P10799879T0000|91 105|Src homology 2
P10801482A0968|141 147|kappaB
P10801809T0000|34 44|yeast PHO8
P10801809T0000|40 53|PHO8 promoter
P10801809T0000|40 44|PHO8
P10801809T0000|87 91|PHO5
P10801860A0000|47 73|immunoglobulin superfamily
P10801860A0000|47 61|immunoglobulin
P10805286A0233|59 68|human PCI
P10805286A0233|65 68|PCI
P10805286A0233|65 73|PCI gene
P10805286A0233|165 172|rat PCI
P10805286A0233|169 177|PCI mRNA
P10805286A0233|169 172|PCI
P10805286A0914|16 19|PCI
P10805286A0914|80 87|rat PCI
P10805286A0914|84 87|PCI
P10805286A0914|84 92|PCI cDNA
P10805286A0914|84 87|PCI
P10805737T0000|23 71|mammalian translation initiation factor 5 (eIF5)
P10805737T0000|33 71|translation initiation factor 5 (eIF5)
P10805737T0000|33 64|translation initiation factor 5
P10805738A0799|29 32|p38
P10805738A0799|29 32|p38
P10805738A0799|29 32|p38
P10805738A0799|215 224|Gal4-MyoD
P10805738A0799|215 231|Gal4-MyoD fusion
P10805738A0799|215 239|Gal4-MyoD fusion protein
P10805738A0799|415 423|p38alpha
P10805739A0343|64 69|eIF2B
P10805739A0640|68 80|eIF2Bepsilon
P10805747A0633|47 60|Nim1p-related
P10805747A0633|47 52|Nim1p
P10807903A0362|137 154|(wt) D1 receptors
P10807903A0362|142 154|D1 receptors
P10807903A0362|256 271|wt D1 receptors
P10810083A1283|4 27|serine-threonine kinase
P10811804A0000|0 60|Mitogen-activated protein (MAP) kinase phosphatase-3 (MKP-3)
P10811804A0000|26 60|(MAP) kinase phosphatase-3 (MKP-3)
P10811804A0000|112 155|extracellular signal-regulated kinase (ERK)
P10811804A0000|112 167|extracellular signal-regulated kinase (ERK) MAP kinases
P10811804A0800|110 118|p90(rsk)
P10815807A1271|61 66|c-Myb
P10819327T0000|0 17|C. elegans KLP-11
P10819327T0000|0 29|C. elegans KLP-11/OSM-3/KAP-1
P10819327T0000|11 29|KLP-11/OSM-3/KAP-1
P10819327T0000|11 29|KLP-11/OSM-3/KAP-1
P10819327T0000|59 69|kinesin-II
P10819327T0000|75 104|mouse KIF3A/KIFB/KAP3 kinesin
P10819327T0000|75 96|mouse KIF3A/KIFB/KAP3
P10819327T0000|75 86|mouse KIF3A
P10819327T0000|75 114|mouse KIF3A/KIFB/KAP3 kinesin complexes
P10819327T0000|81 114|KIF3A/KIFB/KAP3 kinesin complexes
P10819327T0000|81 104|KIF3A/KIFB/KAP3 kinesin
P10819327T0000|81 96|KIF3A/KIFB/KAP3
P10819327T0000|97 114|kinesin complexes
P10821836A0842|24 25|S
P10821836A0842|24 25|S
P10823961A0664|32 40|CBP/p300
P10823961A0664|73 86|DRIP/TRAP/ARC
P10823961A0664|73 94|DRIP/TRAP/ARC complex
P10824485A0393|67 70|CD4
P10824485A0393|67 70|CD4
P10825200T0000|41 61|interleukin-2 (IL-2)
P10825293T0000|22 35|N-cadherin-Fc
P10825293T0000|22 43|N-cadherin-Fc chimera
P10825293T0000|24 32|cadherin
P10825294A0473|13 15|OC
P10825294A0473|89 92|BSP
P10825294A0473|186 189|AML
P10826946A1198|71 74|Igs
P10826946A1198|79 84|gp120
P10826946A1198|100 111|viral gp120
P10826946A1198|106 115|gp120 SAg
P10826946A1198|106 111|gp120
P10826946A1198|157 167|V(H)3+ Igs
P10827952A0158|148 158|histone H4
P10827952A0158|156 167|H4 peptides
P10827952A0158|156 158|H4
P10831972A1091|62 74|soluble CD23
P10833461A0603|96 102|UGT2B7
P10833486A0598|114 144|alanine aminotransferase (ALT)
P10835355A0225|35 47|protein Gis1
P10835355A0225|43 47|Gis1
P10835485A0941|14 19|"SH3"
P10835485A0941|15 18|SH3
P10836786A0516|156 165|RNase MRP
P10836786A0516|156 202|RNase MRP RNA and RNase P RNA of S. cerevisiae
P10836786A0516|174 181|RNase P
P10836786A0516|174 185|RNase P RNA
P10838139A1447|16 22|Ha-ras
P10840001A0188|0 5|Mucin
P10843716A0406|4 12|tryptase
P10843716A0406|47 60|tryptase-like
P10843716A0406|47 55|tryptase
P10843810A0802|91 119|human tyrosine phosphatase 1
P10843810A0802|97 119|tyrosine phosphatase 1
P10843810A0802|97 124|tyrosine phosphatase 1 gene
P10846054A0573|83 88|RNA 2
P10846054A0573|138 143|RNA 1
P10846054A0573|147 152|RNA 2
P10846054A0573|147 152|RNA 2
P10848993A0000|42 79|methylmalonyl-CoA mutase gene (mutAB)
P10848993A0000|209 246|serine/threonine protein kinase (amk)
P10850453A0713|34 40|Ha-Ras
P10850453A0713|62 67|Raf-1
P10850453A1292|67 75|Ras/MAPK
P10852485A0477|33 34|Q
P10852485A0477|33 34|Q
P10854699A0424|6 9|FGF
P10854699A0424|6 12|FGF-AS
P10854699A0424|38 56|full-length FGF-AS
P10854699A0424|50 53|FGF
P10854699A0424|50 61|FGF-AS mRNA
P10854699A0424|50 56|FGF-AS
P10854699A0424|50 56|FGF-AS
P10854699A0424|50 53|FGF
P10855690A0870|70 75|hPL-B
P10855690A0870|91 98|NF-IL-6
P10855796A1160|79 84|EphA8
P10857262A0186|27 31|fruA
P10857262A0186|86 100|type A protein
P10857262A0186|119 153|BTB protein-protein-binding domain
P10857751A0304|17 48|mouse ortholog (Mharp/Smarcal1)
P10857751A0304|23 48|ortholog (Mharp/Smarcal1)
P10857751A0304|33 47|Mharp/Smarcal1
P10857751A0304|69 109|Caenorhabditis elegans ortholog (CEHARP)
P10860752A1601|108 139|bacteriophage T4 DNA polymerase
P10860752A1601|125 139|DNA polymerase
P10860846A0480|54 62|AP2 core
P10860846A0480|54 57|AP2
P10860846A0480|54 57|AP2
P10860846A0480|54 57|AP2
P10860846A0480|197 200|HGF
P10860846A0480|197 205|HGF gene
P10861086A0259|93 120|C-terminal Src kinase (Csk)
P10861086A0904|13 44|c-Src-derived construct (a-Src)
P10861086A0904|13 18|c-Src
P10861906A0999|4 15|delta srb10
P10861909A0502|65 100|Saccharomyces cerevisiae LEU 2 gene
P10861909A0502|90 95|LEU 2
P10861909A0502|120 134|S. pombe leu1-
P10861909A0502|120 133|S. pombe leu1
P10861909A0502|129 139|leu1- gene
P10861909A0502|129 134|leu1-
P10861909A0502|129 133|leu1
P10861909A0502|144 168|S. pombe ura4+ and his3+
P10861909A0502|144 174|S. pombe ura4+ and his3+ genes
P10861909A0502|144 157|S. pombe ura4
P10861909A0502|144 158|S. pombe ura4+
P10861909A0502|153 157|ura4
P10861909A0502|163 168|his3+
P10861909A0502|163 167|his3
P10861909A0502|206 210|nmt1
P10862289A0289|101 104|IgG
P10862289A0289|120 123|A60
P10864496A0401|83 97|nrgAB promoter
P10864496A0401|83 88|nrgAB
P10864641A1400|83 85|HA
P10865422A0138|20 34|serum ferritin
P10865422A0138|20 39|serum ferritin (SF)
P10865422A0138|41 56|hemoglobin (Hb)
